"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Armenia","2015","3767","","tonnes"
"Armenia","2014","2379","","tonnes"
"Armenia","2013","17","","tonnes"
"Armenia","2012","1678","","tonnes"
"Armenia","2011","12","1","tonnes"
"Armenia","2010","300","","tonnes"
"Armenia","2009","456","","tonnes"
"Armenia","2008","1359","","tonnes"
"Armenia","2007","0","","tonnes"
"Armenia","2006","0","","tonnes"
"Armenia","2005","0","","tonnes"
"Armenia","2004","0","","tonnes"
"Armenia","2003","0","","tonnes"
"Armenia","2002","0","","tonnes"
"Armenia","2001","0","","tonnes"
"Armenia","2000","0","","tonnes"
"Armenia","1999","0","","tonnes"
"Armenia","1998","0","","tonnes"
"Austria","2014","215076","","tonnes"
"Austria","2012","193421","","tonnes"
"Austria","2010","156167","","tonnes"
"Austria","2008","160701","","tonnes"
"Austria","2006","153167","","tonnes"
"Austria","2004","185874","","tonnes"
"Azerbaijan","2015","210858","","tonnes"
"Azerbaijan","2014","111309.5","","tonnes"
"Azerbaijan","2013","86426.5","","tonnes"
"Azerbaijan","2012","113898.3984375","","tonnes"
"Azerbaijan","2011","37132.1015625","","tonnes"
"Azerbaijan","2010","58429.1015625","","tonnes"
"Azerbaijan","2009","10401.2001953125","","tonnes"
"Azerbaijan","2008","8599","","tonnes"
"Azerbaijan","2007","1241","","tonnes"
"Azerbaijan","2006","25999","","tonnes"
"Azerbaijan","2005","38","","tonnes"
"Azerbaijan","2004","969","","tonnes"
"Azerbaijan","2003","9747","","tonnes"
"Azerbaijan","2002","1007","","tonnes"
"Bahrain","2007","1290","","tonnes"
"Bahrain","2006","893","","tonnes"
"Bahrain","2005","1051","","tonnes"
"Bahrain","2004","963","","tonnes"
"Bahrain","2003","1024","","tonnes"
"Bahrain","2002","1095","","tonnes"
"Bangladesh","2012","1447.30004882813","2","tonnes"
"Bangladesh","2007","996","2","tonnes"
"Belarus","2015","24500.970703125","3","tonnes"
"Belarus","2014","59290.21875","3","tonnes"
"Belarus","2013","21244.470703125","3","tonnes"
"Belarus","2012","29050.439453125","3","tonnes"
"Belarus","2011","57230.12109375","3","tonnes"
"Belarus","2010","46000","3","tonnes"
"Belarus","2009","34615.7109375","3","tonnes"
"Belarus","2008","39626.98046875","3","tonnes"
"Belarus","2007","41349.359375","3","tonnes"
"Belarus","2006","54194.328125","3","tonnes"
"Belarus","2005","50162.51953125","3","tonnes"
"Belarus","2004","10.3000001907349","3","tonnes"
"Belarus","2003","12171","","tonnes"
"Belarus","2002","8382","","tonnes"
"Belarus","2001","21954","","tonnes"
"Belgium","2014","583144","","tonnes"
"Belgium","2012","310150","","tonnes"
"Belgium","2010","372737","","tonnes"
"Belgium","2008","524200","","tonnes"
"Belgium","2006","603183","","tonnes"
"Belgium","2004","359001","4","tonnes"
"Belize","2000","775","5","tonnes"
"Belize","1999","691","5","tonnes"
"Benin","2002","1698","6","tonnes"
"Bermuda","2015","6.59999990463257","7","tonnes"
"Bermuda","2014","5","","tonnes"
"Bermuda","2013","8","","tonnes"
"Bermuda","2012","5","","tonnes"
"Bermuda","2011","7","","tonnes"
"Bermuda","2010","5","","tonnes"
"Bosnia and Herzegovina","2012","0","","tonnes"
"Bosnia and Herzegovina","2011","0","","tonnes"
"Bosnia and Herzegovina","2010","0","","tonnes"
"Bosnia and Herzegovina","2009","0","","tonnes"
"Bosnia and Herzegovina","2008","0","","tonnes"
"Bosnia and Herzegovina","2007","0","","tonnes"
"Bosnia and Herzegovina","2006","0","","tonnes"
"Bosnia and Herzegovina","2005","0","","tonnes"
"Bosnia and Herzegovina","2004","0","","tonnes"
"Bosnia and Herzegovina","2003","0","","tonnes"
"Bosnia and Herzegovina","2002","0","","tonnes"
"Bosnia and Herzegovina","2001","0","","tonnes"
"Botswana","2015","719.190002441406","8","tonnes"
"Botswana","2013","386.679992675781","8","tonnes"
"Bulgaria","2014","7504","","tonnes"
"Bulgaria","2012","5540","","tonnes"
"Bulgaria","2010","1762","","tonnes"
"Bulgaria","2008","49759","","tonnes"
"Bulgaria","2006","82423","","tonnes"
"Bulgaria","2004","45306","","tonnes"
"Cameroon","2009","1148.19995117188","","tonnes"
"Cameroon","2008","355","","tonnes"
"Cameroon","2007","299.799987792969","","tonnes"
"Cameroon","2006","311.100006103516","","tonnes"
"Cameroon","2005","369.5","","tonnes"
"Cameroon","2004","202.199996948242","","tonnes"
"China, Hong Kong Special Administrative Region","2015","8266","","tonnes"
"China, Hong Kong Special Administrative Region","2014","6480","","tonnes"
"China, Hong Kong Special Administrative Region","2013","6376","","tonnes"
"China, Hong Kong Special Administrative Region","2012","5930","","tonnes"
"China, Hong Kong Special Administrative Region","2011","6029","","tonnes"
"China, Hong Kong Special Administrative Region","2010","5396","","tonnes"
"China, Hong Kong Special Administrative Region","2009","6325","","tonnes"
"China, Hong Kong Special Administrative Region","2008","6779","","tonnes"
"China, Hong Kong Special Administrative Region","2007","7220","","tonnes"
"China, Hong Kong Special Administrative Region","2006","7487","","tonnes"
"China, Hong Kong Special Administrative Region","2005","9037","","tonnes"
"China, Hong Kong Special Administrative Region","2004","9021","","tonnes"
"China, Hong Kong Special Administrative Region","2003","9342","","tonnes"
"China, Hong Kong Special Administrative Region","2002","10182","","tonnes"
"China, Hong Kong Special Administrative Region","2001","10364","","tonnes"
"China, Hong Kong Special Administrative Region","2000","12054","","tonnes"
"China, Hong Kong Special Administrative Region","1999","11879","","tonnes"
"China, Hong Kong Special Administrative Region","1998","11732","","tonnes"
"China, Hong Kong Special Administrative Region","1997","10197","","tonnes"
"China, Hong Kong Special Administrative Region","1996","7070","","tonnes"
"China, Hong Kong Special Administrative Region","1995","8027","","tonnes"
"China, Macao Special Administrative Region","2015","473","9","tonnes"
"China, Macao Special Administrative Region","2014","486","9","tonnes"
"China, Macao Special Administrative Region","2013","436","9","tonnes"
"China, Macao Special Administrative Region","2012","414","9","tonnes"
"China, Macao Special Administrative Region","2011","457","9","tonnes"
"China, Macao Special Administrative Region","2010","504","9","tonnes"
"China, Macao Special Administrative Region","2009","449","9","tonnes"
"China, Macao Special Administrative Region","2008","450","9","tonnes"
"China, Macao Special Administrative Region","2007","399","9","tonnes"
"China, Macao Special Administrative Region","2006","384","9","tonnes"
"China, Macao Special Administrative Region","2005","367","9","tonnes"
"China, Macao Special Administrative Region","2004","351","9","tonnes"
"China, Macao Special Administrative Region","2003","308","9","tonnes"
"China, Macao Special Administrative Region","2002","263","9","tonnes"
"China, Macao Special Administrative Region","2001","315","9","tonnes"
"China, Macao Special Administrative Region","2000","225","9","tonnes"
"China, Macao Special Administrative Region","1999","207","9","tonnes"
"China, Macao Special Administrative Region","1998","207","9","tonnes"
"China, Macao Special Administrative Region","1997","175","9","tonnes"
"Croatia","2014","11371","","tonnes"
"Croatia","2012","8425","","tonnes"
"Croatia","2010","33390","","tonnes"
"Croatia","2008","5652","","tonnes"
"Croatia","2006","47956","","tonnes"
"Croatia","2004","19103","","tonnes"
"Cuba","2015","25718","","tonnes"
"Cuba","2014","21194","","tonnes"
"Cuba","2013","15423","","tonnes"
"Cuba","2012","11678","","tonnes"
"Cuba","2011","15423","","tonnes"
"Cuba","2010","16924","","tonnes"
"Cyprus","2014","1432","","tonnes"
"Cyprus","2012","92","","tonnes"
"Cyprus","2010","1413","","tonnes"
"Cyprus","2008","1209","","tonnes"
"Cyprus","2006","81","","tonnes"
"Cyprus","2004","3965","","tonnes"
"Czechia","2014","124806","","tonnes"
"Czechia","2012","109339","","tonnes"
"Czechia","2010","91434","","tonnes"
"Czechia","2008","122771","","tonnes"
"Czechia","2006","104925","","tonnes"
"Czechia","2004","59864","","tonnes"
"Denmark","2014","213454","","tonnes"
"Denmark","2012","130114","","tonnes"
"Denmark","2010","167878","","tonnes"
"Denmark","2008","91978","","tonnes"
"Denmark","2006","84699","","tonnes"
"Denmark","2004","93137","","tonnes"
"Estonia","2014","15299","","tonnes"
"Estonia","2012","18704","","tonnes"
"Estonia","2010","15968","","tonnes"
"Estonia","2008","36806","","tonnes"
"Estonia","2006","32687","","tonnes"
"Estonia","2004","44571","","tonnes"
"Finland","2014","195168","","tonnes"
"Finland","2012","175476","","tonnes"
"Finland","2010","201616","","tonnes"
"Finland","2008","170565","","tonnes"
"Finland","2006","171181","","tonnes"
"Finland","2004","241634","","tonnes"
"France","2014","2566536","","tonnes"
"France","2012","2526182","","tonnes"
"France","2010","2389175","","tonnes"
"France","2008","2271146","","tonnes"
"France","2006","2851000","","tonnes"
"France","2004","2369000","10","tonnes"
"French Guiana","2013","265","","tonnes"
"French Guiana","2008","110","11","tonnes"
"French Guiana","2007","76","11","tonnes"
"Georgia","2005","0","","tonnes"
"Georgia","2004","0","","tonnes"
"Georgia","1990","0","","tonnes"
"Germany","2014","4051948","","tonnes"
"Germany","2012","4312531","","tonnes"
"Germany","2010","3721246","","tonnes"
"Germany","2008","3934331","","tonnes"
"Germany","2006","3165080","","tonnes"
"Germany","2004","3177924","","tonnes"
"Greece","2014","6148","","tonnes"
"Greece","2012","6176","","tonnes"
"Greece","2010","7792","","tonnes"
"Greece","2008","12333","","tonnes"
"Greece","2006","20921","","tonnes"
"Greece","2004","3006","","tonnes"
"Guadeloupe","2013","538","","tonnes"
"Guadeloupe","2008","1300","11","tonnes"
"Guadeloupe","2007","1385","11","tonnes"
"Guatemala","2010","1347","12","tonnes"
"Guatemala","2008","917","12","tonnes"
"Guatemala","2007","846","12","tonnes"
"Guatemala","2006","709","12","tonnes"
"Guatemala","2005","732","12","tonnes"
"Guatemala","2004","833","12","tonnes"
"Guatemala","2003","376","12","tonnes"
"Hungary","2014","102722","","tonnes"
"Hungary","2012","96528","","tonnes"
"Hungary","2010","95122","","tonnes"
"Hungary","2008","98627","","tonnes"
"Hungary","2006","129251","","tonnes"
"Hungary","2004","90379","","tonnes"
"Iceland","2014","2035","13","tonnes"
"Iceland","2012","132","","tonnes"
"Iceland","2010","187","","tonnes"
"Iceland","2008","729","","tonnes"
"Iceland","2004","9000","","tonnes"
"India","2015","829923","","tonnes"
"India","2014","803549","","tonnes"
"India","2012","92954","","tonnes"
"India","2011","601842","","tonnes"
"India","2008","415794","","tonnes"
"India","2000","118941","","tonnes"
"Iraq","2015","1049","","tonnes"
"Iraq","2010","408","","tonnes"
"Ireland","2014","45557","","tonnes"
"Ireland","2012","30894","","tonnes"
"Ireland","2010","64281","","tonnes"
"Ireland","2008","57194","","tonnes"
"Ireland","2006","45040","","tonnes"
"Ireland","2004","43328","","tonnes"
"Italy","2014","483881","","tonnes"
"Italy","2012","557824","","tonnes"
"Italy","2010","503555","","tonnes"
"Italy","2008","592533","","tonnes"
"Italy","2006","639593","","tonnes"
"Italy","2004","729061","","tonnes"
"Jamaica","1996","7500","","tonnes"
"Jordan","2011","10.1000003814697","","tonnes"
"Jordan","2010","1","","tonnes"
