"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","63","","%"
"Albania","2014","63","","%"
"Albania","2013","59","","%"
"Albania","2003","60","","%"
"Algeria","2015","85","","%"
"Algeria","2014","85","","%"
"Algeria","2009","80","","%"
"Algeria","2002","75","","%"
"Algeria","1995","65","","%"
"Andorra","2015","100","","%"
"Andorra","2014","100","","%"
"Andorra","2013","100","","%"
"Andorra","2012","100","","%"
"Andorra","2011","100","","%"
"Andorra","2010","100","","%"
"Andorra","2009","100","","%"
"Andorra","2008","100","","%"
"Andorra","2007","100","","%"
"Andorra","2006","100","","%"
"Andorra","2005","100","","%"
"Andorra","2004","100","","%"
"Andorra","2003","100","","%"
"Andorra","2002","100","","%"
"Andorra","2001","100","","%"
"Andorra","2000","100","","%"
"Andorra","1999","100","","%"
"Andorra","1998","100","","%"
"Andorra","1997","100","","%"
"Andorra","1996","100","","%"
"Andorra","1995","100","","%"
"Andorra","1990","100","","%"
"Angola","2011","23.1000003814697","","%"
"Anguilla","2008","100","","%"
"Anguilla","2007","100","","%"
"Anguilla","2006","100","","%"
"Anguilla","2005","100","","%"
"Anguilla","2004","100","","%"
"Anguilla","2003","100","","%"
"Anguilla","2002","100","","%"
"Anguilla","2001","100","","%"
"Antigua and Barbuda","2015","99","","%"
"Antigua and Barbuda","2014","99","","%"
"Antigua and Barbuda","2013","99","","%"
"Antigua and Barbuda","2012","99","","%"
"Antigua and Barbuda","2011","99","","%"
"Antigua and Barbuda","2010","95","","%"
"Antigua and Barbuda","2009","95","","%"
"Antigua and Barbuda","2008","95","","%"
"Antigua and Barbuda","2007","95","","%"
"Antigua and Barbuda","2006","95","","%"
"Antigua and Barbuda","2005","95","","%"
"Argentina","2010","89.9000015258789","1","%"
"Argentina","2001","88.3000030517578","","%"
"Armenia","2015","87.5999984741211","","%"
"Armenia","2014","87.1999969482422","","%"
"Armenia","2013","87.6999969482422","","%"
"Armenia","2012","85.5999984741211","","%"
"Armenia","2011","85.0999984741211","","%"
"Armenia","2010","83.1999969482422","","%"
"Armenia","2009","80.5","","%"
"Armenia","2008","78.4000015258789","","%"
"Armenia","2007","79.5","","%"
"Armenia","2006","75.9000015258789","","%"
"Armenia","2005","74.9000015258789","","%"
"Armenia","2004","76.3000030517578","","%"
"Armenia","2003","74.1999969482422","","%"
"Armenia","2002","74.1999969482422","","%"
"Armenia","2001","74.3000030517578","","%"
"Armenia","2000","76.5999984741211","","%"
"Armenia","1999","76.6999969482422","","%"
"Armenia","1998","76.5999984741211","","%"
"Armenia","1997","75.9000015258789","","%"
"Armenia","1996","76.1999969482422","","%"
"Armenia","1995","77","","%"
"Armenia","1990","77.0999984741211","","%"
"Azerbaijan","2015","64.8000030517578","","%"
"Azerbaijan","2014","64.9000015258789","","%"
"Azerbaijan","2013","64.9000015258789","","%"
"Belarus","2015","92","","%"
"Belarus","2014","90.8000030517578","","%"
"Belarus","2013","90.9000015258789","","%"
"Belarus","2012","90.9000015258789","","%"
"Belarus","2011","90.8000030517578","","%"
"Belarus","2010","86.4000015258789","","%"
"Belarus","2009","84.8000030517578","","%"
"Belarus","2008","78.6999969482422","","%"
"Belarus","2007","76.5999984741211","","%"
"Belarus","2006","75.8000030517578","","%"
"Belarus","2005","72.8000030517578","","%"
"Belarus","2004","70.5","","%"
"Belarus","2003","64.5999984741211","","%"
"Belize","2012","45.0999984741211","","%"
"Belize","2011","45.2000007629395","","%"
"Belize","2010","45.2999992370605","","%"
"Belize","2009","45.5999984741211","","%"
"Belize","2008","45.9000015258789","","%"
"Belize","2007","46.2999992370605","","%"
"Belize","2006","46.5999984741211","","%"
"Belize","2005","46.9000015258789","","%"
"Belize","2004","47.2999992370605","","%"
"Belize","2003","47.5999984741211","","%"
"Belize","2002","47.9000015258789","","%"
"Belize","2001","48.2999992370605","","%"
"Belize","2000","48.5999984741211","","%"
